epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4528,1.47315,2.28873,1.65789,0.4034,0.31375,0.24351,0.10497,1.86568,2.47593,2.04916,0.000547495,0.000547495,0.000547495
2,32.0347,1.37032,1.63769,1.52688,0.43205,0.51199,0.47112,0.2472,1.47813,2.3832,1.83825,0.00108132,0.00108132,0.00108132
3,44.4748,1.41212,1.58817,1.54159,0.53762,0.58831,0.55774,0.28395,1.61342,2.21482,1.90676,0.00159314,0.00159314,0.00159314
4,56.8215,1.41356,1.54301,1.55428,0.45436,0.54606,0.47512,0.20742,1.86377,2.0892,2.05411,0.00156798,0.00156798,0.00156798
5,69.5084,1.39657,1.3891,1.52634,0.71059,0.73489,0.74896,0.40772,1.5303,1.41771,1.80103,0.00153497,0.00153497,0.00153497
6,82.0148,1.35925,1.31145,1.52561,0.69982,0.66603,0.69272,0.34053,1.67003,1.50256,1.9057,0.00150197,0.00150197,0.00150197
7,94.5898,1.34633,1.24634,1.49298,0.78945,0.6161,0.74315,0.4211,1.48133,1.21881,1.73257,0.00146896,0.00146896,0.00146896
8,107.073,1.31265,1.20624,1.47794,0.80393,0.74521,0.79462,0.40316,1.57713,1.2742,1.84856,0.00143595,0.00143595,0.00143595
9,120.191,1.30163,1.23998,1.47408,0.63599,0.66364,0.7118,0.4251,1.4143,1.28963,1.67969,0.00140295,0.00140295,0.00140295
10,127.006,1.32311,1.17706,1.44387,0.57013,0.67018,0.58412,0.28644,1.65219,1.87561,1.81322,0.00136994,0.00136994,0.00136994
11,139.806,1.28973,1.13263,1.45299,0.78533,0.70601,0.7857,0.46513,1.4104,1.09268,1.66174,0.00133693,0.00133693,0.00133693
12,152.229,1.25571,1.10134,1.42861,0.7653,0.74337,0.78946,0.452,1.43114,1.06361,1.68095,0.00130393,0.00130393,0.00130393
